CDS_CODE,County,District,School,Status,NCESSchool,Latitude,Longitude,SchoolType,Street,City,Zip,CAASPP_SCORE,CAASPP_ERROR
01100170112607,Alameda,Alameda County Office of Education,Envision Academy for Arts & Technology,Active,10947,37.80452,-122.26815,K-12 Schools (Public),1515 Webster Street,Oakland,94612-3355,-127.3,
01100170114363,Alameda,Alameda County Office of Education,American Indian Public Charter School II,Active,12013,37.800368,-122.26548,Elementary Schools (Public),171 12th Street,Oakland,94607-4900,,
01100170123968,Alameda,Alameda County Office of Education,Community School for Creative Education,Active,12844,37.784648,-122.23863,Elementary Schools (Public),2111 International Boulevard,Oakland,94606-4903,-119.5,
01100170124172,Alameda,Alameda County Office of Education,Yu Ming Charter,Active,12901,37.818228,-122.28233,Elementary Schools (Public),2501 Chestnut Street,Oakland,94607-2477,100.6,
01100170126748,Alameda,Alameda County Office of Education,LPS Oakland R & D Campus,Active,13155,37.759536,-122.16291,High Schools (Public),"8601 MacArthur Boulevard, Building 100",Oakland,94605-4037,,
01100170129403,Alameda,Alameda County Office of Education,Epic Charter,Active,13772,37.777049,-122.2296,Intermediate/Middle Schools (Public),1045 Derby Avenue,Oakland,94601-2212,,
01100170130401,Alameda,Alameda County Office of Education,Alameda County Juvenile Hall/Court,Active,09264,37.712878,-122.11173,Juvenile Court Schools,2500 Fairmont Avenue,San Leandro,94578-1005,,
01100170130419,Alameda,Alameda County Office of Education,Alameda County Community,Active,06830,37.658212,-122.09713,County Community,313 West Winton Avenue,Hayward,94544-1136,-232.6,
01100170130625,Alameda,Alameda County Office of Education,Alternatives in Action,Active,08674,37.764464,-122.1954,High Schools (Public),6221 East 17th Street,Oakland,94621-4107,-172.7,
01100170131581,Alameda,Alameda County Office of Education,Oakland Unity Middle,Active,13887,37.759123,-122.19094,Intermediate/Middle Schools (Public),1180 70th Avenue,Oakland,94621-3216,-22.4,
01100170136101,Alameda,Alameda County Office of Education,Connecting Waters Charter - East Bay,Active,14091,37.603623,-122.0253,K-12 Schools (Public),703 C Street,Union City,94587-2195,6.6,
01100170136226,Alameda,Alameda County Office of Education,Opportunity Academy,Active,14090,37.65851,-122.09834,County Community,313 West Winton Avenue,Hayward,94544-1136,-283.5,
01100170138867,Alameda,Alameda County Office of Education,Hayward Collegiate Charter,Active,14443,37.648124,-122.08239,Elementary Schools (Public),166 West Harder Road,Hayward,94544-2742,0.3,
01100176001788,Alameda,Alameda County Office of Education,Cox Academy,Active,04257,37.746513,-122.16182,Elementary Schools (Public),9860 Sunnyside Street,Oakland,94603-2750,-48.0,
01100176002000,Alameda,Alameda County Office of Education,Lazear Charter Academy,Active,04288,37.776239,-122.23207,Elementary Schools (Public),824 29th Avenue,Oakland,94601-2205,-37.7,
01100176106751,Alameda,Alameda County Office of Education,Alameda County Special Education,Active,08672,37.658212,-122.09713,Special Education Schools (Public),313 West Winton Avenue,Hayward,94544-1136,,
01316090131755,Alameda,California School for the Blind (State Special Schl),California School for the Blind,Active,10346,37.562576,-121.96563,State Special Schools,500 Walnut Avenue,Fremont,94536-4365,-189.1,
01316170131763,Alameda,California School for the Deaf-Fremont (State Special Schl),California School for the Deaf-Fremont,Active,10347,37.558956,-121.96551,State Special Schools,39350 Gallaudet Drive,Fremont,94538-2308,-100.8,
01611190106401,Alameda,Alameda Unified,Alameda Science and Technology Institute,Active,10547,37.780753,-122.2793,Alternative Schools of Choice,555 Ralph Appezzato Memorial Parkway,Alameda,94501-2109,77.3,
01611190111765,Alameda,Alameda Unified,Ruby Bridges Elementary,Active,11549,37.781834,-122.28614,Elementary Schools (Public),351 Jack London Avenue,Alameda,94501-3901,-26.1,
01611190119222,Alameda,Alameda Unified,Nea Community Learning Center,Active,12399,37.779051,-122.28703,K-12 Schools (Public),1900 Third Street,Alameda,94501-1851,-55.7,
01611190122085,Alameda,Alameda Unified,The Academy of Alameda,Active,00042,37.776497,-122.28582,Elementary Schools (Public),401 Pacific Avenue,Alameda,94501-1837,-22.7,
