County,avg_caasp,n
Santa Clara,-11.232460732984293,382
San Mateo,-14.504907975460124,163
Marin,-15.08955223880597,67
Placer,-15.364799999999999,125
Orange,-16.567699836867863,613
El Dorado,-26.333333333333332,60
San Diego,-37.630694444444444,720
Alameda,-41.26149425287356,348
Los Angeles,-42.47589893100097,2058
Contra Costa,-46.03796992481203,266
San Luis Obispo,-46.27671232876712,73
Ventura,-49.16813725490196,204
Sierra,-50.1,3
Trinity,-50.4,10
Sonoma,-51.224137931034484,116
Nevada,-54.434375,32
Santa Barbara,-54.86293103448276,116
Yolo,-55.13392857142857,56
Mono,-57.98571428571428,7
Fresno,-60.28785046728972,321
San Francisco,-62.994915254237284,118
Shasta,-64.32337662337662,77
Sacramento,-65.01532258064516,372
San Bernardino,-65.74863387978142,549
Napa,-66.11666666666666,36
Santa Cruz,-66.27199999999999,75
Humboldt,-66.42535211267605,71
Tuolumne,-66.67058823529412,17
Colusa,-66.72307692307692,13
Kings,-67.22,55
Plumas,-67.5875,8
Riverside,-67.59756097560975,492
Sutter,-68.06666666666666,39
San Benito,-68.29090909090908,22
Solano,-70.23118279569893,93
San Joaquin,-71.16794871794872,234
Imperial,-72.03934426229507,61
Tulare,-73.80057803468208,173
Stanislaus,-74.2596590909091,176
Yuba,-76.97631578947369,38
Monterey,-77.35365853658537,123
Butte,-77.64736842105263,76
Lassen,-77.91875,16
Kern,-79.02129277566539,263
Siskiyou,-79.0878787878788,33
Tehama,-80.97878787878788,33
Merced,-84.07979797979797,99
Madera,-85.93731343283582,67
Modoc,-86.51666666666667,6
Glenn,-88.265,20
Del Norte,-93.9076923076923,13
Calaveras,-94.40588235294118,17
Mendocino,-95.17291666666667,48
Mariposa,-96.78181818181817,11
Amador,-102.3,12
Alpine,-109.5,1
Lake,-110.76896551724138,29
Inyo,-122.61666666666667,12
