County,District,avg_caasp,n
Santa Clara,Saratoga Union Elementary,99.45,4
San Mateo,Hillsborough City Elementary,99.4,4
Santa Clara,Los Altos Elementary,96.76666666666667,9
Santa Clara,Fremont Union High,91.3,5
San Mateo,Las Lomitas Elementary,91.19999999999999,2
Los Angeles,San Marino Unified,90.125,4
Los Angeles,La Canada Unified,88.05,4
San Mateo,Portola Valley Elementary,87.1,2
Santa Clara,Cupertino Union,85.15217391304348,23
San Diego,Rancho Santa Fe Elementary,84.75,2
Santa Clara,Palo Alto Unified,78.26842105263158,19
Contra Costa,Orinda Union,77.56,5
Los Angeles,South Pasadena Unified,76.38,5
San Diego,Del Mar Union Elementary,74.55555555555556,9
Santa Clara,Los Gatos-Saratoga Union High,74.1,2
Los Angeles,Manhattan Beach Unified,72.44285714285715,7
San Mateo,Belmont-Redwood Shores Elementary,72.11428571428571,7
Contra Costa,Lafayette Elementary,71.97999999999999,5
San Diego,Solana Beach Elementary,70.55714285714285,7
San Mateo,Menlo Park City Elementary,70.425,4
Marin,Mill Valley Elementary,69.21666666666667,6
San Mateo,San Carlos Elementary,68.13333333333334,9
Santa Clara,Los Gatos Union Elementary,64.52000000000001,5
Santa Clara,Union Elementary,64.05,8
Los Angeles,Hermosa Beach City Elementary,62.56666666666666,3
Marin,Reed Union Elementary,62.26666666666667,3
Orange,Fountain Valley Elementary,60.239999999999995,10
Marin,Larkspur-Corte Madera,59.9,3
San Mateo,Burlingame Elementary,57.54285714285714,7
Los Angeles,Walnut Valley Unified,56.785714285714285,14
Santa Clara,Loma Prieta Joint Union Elementary,55.8,2
Contra Costa,Moraga Elementary,54.125,4
Marin,Kentfield Elementary,53.85,2
San Joaquin,Lammersville Joint Unified,51.72222222222222,9
Los Angeles,El Segundo Unified,49.1,4
Marin,Ross Valley Elementary,46.18,5
Placer,Eureka Union,45.74285714285714,7
Orange,Laguna Beach Unified,45.5,4
Contra Costa,San Ramon Valley Unified,45.05555555555556,36
Alameda,Piedmont City Unified,44.35,6
Orange,Irvine Unified,44.17045454545455,44
Alameda,Albany City Unified,44.14,5
San Diego,Cardiff Elementary,43.3,2
Alameda,Dublin Unified,41.35,12
Alameda,Fremont Unified,40.02682926829268,41
Los Angeles,Arcadia Unified,39.48181818181818,11
Orange,Los Alamitos Unified,39.13333333333333,9
Contra Costa,Walnut Creek Elementary,38.68571428571429,7
San Diego,San Dieguito Union High,37.54,10
Los Angeles,Temple City Unified,37.300000000000004,6
Monterey,Carmel Unified,34.58,5
El Dorado,Latrobe,33.55,2
Alameda,Pleasanton Unified,33.38125,16
San Mateo,Millbrae Elementary,31.3,5
San Diego,Encinitas Union Elementary,31.22222222222222,9
Orange,Huntington Beach City Elementary,30.422222222222224,9
Santa Barbara,Hope Elementary,29.36666666666667,3
Los Angeles,Beverly Hills Unified,29.225,4
Placer,Newcastle Elementary,27.8,5
San Diego,Poway Unified,27.77948717948718,39
Monterey,Washington Union Elementary,27.26666666666667,3
Sonoma,Waugh Elementary,27.2,2
Santa Clara,Cambrian,26.483333333333334,6
El Dorado,Buckeye Union Elementary,26.13076923076923,13
San Bernardino,Etiwanda Elementary,26.105882352941176,17
Orange,Cypress Elementary,25.849999999999998,6
San Diego,Coronado Unified,24.925,4
Los Angeles,Redondo Beach Unified,24.59166666666667,12
Placer,Loomis Union Elementary,23.87142857142857,7
Los Angeles,Saugus Union,23.857142857142858,14
Contra Costa,Acalanes Union High,22.84,5
El Dorado,Rescue Union Elementary,21.457142857142856,7
San Joaquin,Jefferson Elementary,21.32,5
San Mateo,Brisbane Elementary,20.833333333333332,3
Los Angeles,Palos Verdes Peninsula Unified,20.829411764705885,17
Marin,Miller Creek Elementary,20.025,4
Stanislaus,Paradise Elementary,19.65,2
Los Angeles,Torrance Unified,18.893333333333334,30
Los Angeles,Newhall,18.330000000000002,10
Santa Clara,Mountain View Whisman,18.054545454545455,11
Los Angeles,Santa Monica-Malibu Unified,17.87142857142857,14
Ventura,Oak Park Unified,15.550000000000002,6
Santa Clara,Moreland,15.12857142857143,7
Santa Clara,Berryessa Union Elementary,15.030000000000001,10
San Diego,Carlsbad Unified,14.113333333333333,15
Santa Clara,Milpitas Unified,13.333333333333336,15
Santa Clara,Evergreen Elementary,13.03125,16
Orange,Capistrano Unified,12.833333333333334,63
Stanislaus,Gratton Elementary,11.799999999999999,2
Trinity,Mountain Valley Unified,11.0,2
Sonoma,Gravenstein Union Elementary,9.5,3
Los Angeles,Bonita Unified,8.823076923076922,13
Alameda,Berkeley Unified,7.794117647058822,17
Sonoma,Bennett Valley Union Elementary,6.800000000000001,2
Monterey,Pacific Grove Unified,6.175,4
Los Angeles,Rosemead Elementary,6.0600000000000005,5
San Bernardino,Alta Loma Elementary,4.35,10
Santa Barbara,Goleta Union Elementary,3.566666666666666,9
Placer,Placer Hills Union Elementary,3.45,2
Santa Cruz,Scotts Valley Unified,3.16,5
Orange,Centralia Elementary,3.0875000000000004,8
Placer,Rocklin Unified,3.085714285714285,21
Santa Clara,Sunnyvale,1.3199999999999996,10
Sonoma,Liberty Elementary,0.16666666666666666,3
Los Angeles,Garvey Elementary,0.16363636363636394,11
Alameda,Alameda Unified,-0.4055555555555522,18
Los Angeles,Las Virgenes Unified,-0.5933333333333342,15
Orange,Placentia-Yorba Linda Unified,-0.8515151515151513,33
Los Angeles,Alhambra Unified,-1.2562499999999996,16
San Luis Obispo,San Luis Coastal Unified,-2.0125000000000006,16
Nevada,Chicago Park Elementary,-2.1500000000000004,2
Los Angeles,East Whittier City Elementary,-3.115384615384616,13
Placer,Roseville City,-4.0,21
San Mateo,San Mateo-Foster City,-4.100000000000001,21
San Diego,Santee,-4.111111111111111,9
Calaveras,Vallecito Union,-4.266666666666667,3
Fresno,Clovis Unified,-4.408333333333333,48
Orange,Ocean View,-4.484615384615386,13
Orange,Lowell Joint,-4.933333333333334,6
Madera,Alview-Dairyland Union Elementary,-5.2,2
Ventura,Pleasant Valley,-5.546153846153847,13
Ventura,Conejo Valley Unified,-5.646153846153845,26
Orange,Tustin Unified,-6.207142857142856,28
Yolo,Davis Joint Unified,-6.45,16
Sonoma,Twin Hills Union Elementary,-7.0,4
San Mateo,Pacifica,-7.166666666666667,6
Humboldt,Freshwater Elementary,-7.85,2
Los Angeles,Castaic Union,-7.875,4
Santa Cruz,Santa Cruz City Elementary,-8.02,5
Orange,Garden Grove Unified,-8.080645161290322,62
Los Angeles,Little Lake City Elementary,-8.144444444444444,9
Santa Barbara,Buellton Union Elementary,-8.450000000000001,2
Yuba,Wheatland,-9.600000000000001,4
Kern,Norris Elementary,-9.819999999999999,5
Orange,Fullerton Elementary,-9.864999999999998,20
San Diego,Fallbrook Union Elementary,-10.222222222222221,9
Alameda,Castro Valley Unified,-10.307142857142859,14
El Dorado,Gold Trail Union Elementary,-10.649999999999999,2
San Diego,Alpine Union Elementary,-10.959999999999999,5
Los Angeles,ABC Unified,-11.024137931034485,29
San Joaquin,Ripon Unified,-11.114285714285716,7
Placer,Dry Creek Joint Elementary,-11.444444444444445,9
Shasta,Cottonwood Union Elementary,-11.966666666666663,3
Sonoma,Sebastopol Union Elementary,-12.5,3
Orange,Brea-Olinda Unified,-12.91,10
Orange,Saddleback Valley Unified,-13.283870967741937,31
Contra Costa,Brentwood Union,-13.408333333333333,12
Los Angeles,Glendale Unified,-13.75483870967742,31
Santa Clara,Campbell Union,-13.799999999999999,12
San Bernardino,Chino Valley Unified,-13.86470588235294,34
Orange,Newport-Mesa Unified,-13.912903225806453,31
Riverside,Murrieta Valley Unified,-14.078947368421053,19
Riverside,Temecula Valley Unified,-14.643749999999999,32
Sonoma,Old Adobe Union,-15.016666666666667,6
Sutter,Marcum-Illinois Union Elementary,-15.200000000000001,2
Orange,Savanna Elementary,-15.899999999999999,4
Stanislaus,Roberts Ferry Union Elementary,-15.9,2
Santa Cruz,San Lorenzo Valley Unified,-16.216666666666665,6
Siskiyou,Scott Valley Unified,-16.625,4
Los Angeles,Glendora Unified,-16.877777777777776,9
