County,avg_caasp,coe_size,n_caasp
Alameda,-41.26149425287356,402,348
Alpine,-109.5,5,1
Amador,-102.3,16,12
Butte,-77.64736842105263,96,76
Calaveras,-94.40588235294118,22,17
Colusa,-66.72307692307692,20,13
Contra Costa,-46.03796992481203,287,266
Del Norte,-93.9076923076923,15,13
El Dorado,-26.333333333333332,70,60
Fresno,-60.28785046728972,377,321
Glenn,-88.265,32,20
Humboldt,-66.42535211267605,91,71
Imperial,-72.03934426229507,77,61
Inyo,-122.61666666666667,27,12
Kern,-79.02129277566539,283,263
Kings,-67.22,72,55
Lake,-110.76896551724138,44,29
Lassen,-77.91875,29,16
Los Angeles,-42.47589893100097,2240,2058
Madera,-85.93731343283582,86,67
Marin,-15.08955223880597,76,67
Mariposa,-96.78181818181817,16,11
Mendocino,-95.17291666666667,70,48
Merced,-84.07979797979797,117,99
Modoc,-86.51666666666667,15,6
Mono,-57.98571428571428,15,7
Monterey,-77.35365853658537,152,123
Napa,-66.11666666666666,44,36
Nevada,-54.434375,39,32
Orange,-16.567699836867863,650,613
Placer,-15.364799999999999,132,125
Plumas,-67.5875,15,8
Riverside,-67.59756097560975,552,492
Sacramento,-65.01532258064516,400,372
San Benito,-68.29090909090908,30,22
San Bernardino,-65.74863387978142,601,549
San Diego,-37.630694444444444,778,720
San Francisco,-62.994915254237284,130,118
San Joaquin,-71.16794871794872,255,234
San Luis Obispo,-46.27671232876712,86,73
San Mateo,-14.504907975460124,179,163
Santa Barbara,-54.86293103448276,130,116
Santa Clara,-11.232460732984293,405,382
Santa Cruz,-66.27199999999999,83,75
Shasta,-64.32337662337662,98,77
Sierra,-50.1,9,3
Siskiyou,-79.0878787878788,53,33
Solano,-70.23118279569893,103,93
Sonoma,-51.224137931034484,177,116
Stanislaus,-74.2596590909091,194,176
Sutter,-68.06666666666666,47,39
Tehama,-80.97878787878788,41,33
Trinity,-50.4,23,10
Tulare,-73.80057803468208,207,173
Tuolumne,-66.67058823529412,30,17
Ventura,-49.16813725490196,228,204
Yolo,-55.13392857142857,68,56
Yuba,-76.97631578947369,42,38
